The calculated speed of the ISS on step 1 is 7.657947152186705, average speed is 7.6579
The calculated speed of the ISS on step 63 is 7.657701294252651, average speed is 7.6578
The calculated speed of the ISS on step 64 is 7.657699261612703, average speed is 7.6578
The calculated speed of the ISS on step 65 is 7.657694799877713, average speed is 7.6578
The calculated speed of the ISS on step 66 is 7.657690471539029, average speed is 7.6578
The calculated speed of the ISS on step 67 is 7.657686144073193, average speed is 7.6578
The calculated speed of the ISS on step 68 is 7.657684113111014, average speed is 7.6578
The calculated speed of the ISS on step 69 is 7.65767965382694, average speed is 7.6578
The calculated speed of the ISS on step 70 is 7.657675327546461, average speed is 7.6578
The calculated speed of the ISS on step 71 is 7.657671001706859, average speed is 7.6578
The calculated speed of the ISS on step 72 is 7.657668971865341, average speed is 7.6578
The calculated speed of the ISS on step 73 is 7.657664513068788, average speed is 7.6578
The calculated speed of the ISS on step 74 is 7.657660187299516, average speed is 7.6578
The calculated speed of the ISS on step 75 is 7.657655861574594, average speed is 7.6578
The calculated speed of the ISS on step 76 is 7.65765153547951, average speed is 7.6578
The calculated speed of the ISS on step 77 is 7.657649505008212, average speed is 7.6578
The calculated speed of the ISS on step 78 is 7.657645045342385, average speed is 7.6578
The calculated speed of the ISS on step 79 is 7.657640718008515, average speed is 7.6578
The calculated speed of the ISS on step 80 is 7.6576363897895465, average speed is 7.6578
The calculated speed of the ISS on step 81 is 7.657634357567369, average speed is 7.6578
The calculated speed of the ISS on step 82 is 7.657629895946312, average speed is 7.6578
The calculated speed of the ISS on step 83 is 7.657625565340275, average speed is 7.6578
The calculated speed of the ISS on step 84 is 7.657621233433355, average speed is 7.6578
The calculated speed of the ISS on step 85 is 7.657619198493483, average speed is 7.6578
The calculated speed of the ISS on step 86 is 7.657614733266812, average speed is 7.6578
The calculated speed of the ISS on step 87 is 7.657610397864583, average speed is 7.6578
The calculated speed of the ISS on step 88 is 7.657606060850071, average speed is 7.6578
The calculated speed of the ISS on step 89 is 7.657604021547806, average speed is 7.6578
The calculated speed of the ISS on step 90 is 7.657599551892503, average speed is 7.6578
The calculated speed of the ISS on step 91 is 7.657595210082169, average speed is 7.6578
The calculated speed of the ISS on step 92 is 7.657590866010037, average speed is 7.6578
The calculated speed of the ISS on step 93 is 7.657586520062572, average speed is 7.6578
The calculated speed of the ISS on step 94 is 7.657584473802148, average speed is 7.6578
The calculated speed of the ISS on step 95 is 7.657579995924035, average speed is 7.6578
The calculated speed of the ISS on step 96 is 7.6575756438121925, average speed is 7.6578
The calculated speed of the ISS on step 97 is 7.657571288736273, average speed is 7.6578
The calculated speed of the ISS on step 98 is 7.65756923540901, average speed is 7.6578
The calculated speed of the ISS on step 99 is 7.657564750533379, average speed is 7.6578
The calculated speed of the ISS on step 100 is 7.6575603883408565, average speed is 7.6578
The calculated speed of the ISS on step 101 is 7.657556022534821, average speed is 7.6577
The calculated speed of the ISS on step 102 is 7.657551653489111, average speed is 7.6577
The calculated speed of the ISS on step 103 is 7.657549589420431, average speed is 7.6577
The calculated speed of the ISS on step 104 is 7.657545093708018, average speed is 7.6577
The calculated speed of the ISS on step 105 is 7.657540716015075, average speed is 7.6577
The calculated speed of the ISS on step 106 is 7.657536334377884, average speed is 7.6577
The calculated speed of the ISS on step 107 is 7.657534260640136, average speed is 7.6577
The calculated speed of the ISS on step 108 is 7.657529754715671, average speed is 7.6577
The calculated speed of the ISS on step 109 is 7.657525363256411, average speed is 7.6577
The calculated speed of the ISS on step 110 is 7.657520967621428, average speed is 7.6577
The calculated speed of the ISS on step 111 is 7.657516567550759, average speed is 7.6577
The calculated speed of the ISS on step 112 is 7.6575144796186025, average speed is 7.6577
The calculated speed of the ISS on step 113 is 7.657509958925374, average speed is 7.6577
The calculated speed of the ISS on step 114 is 7.657505547532354, average speed is 7.6577
The calculated speed of the ISS on step 115 is 7.65750113124496, average speed is 7.6577
The calculated speed of the ISS on step 116 is 7.657499030697641, average speed is 7.6577
The calculated speed of the ISS on step 117 is 7.657494497637946, average speed is 7.6577
The calculated speed of the ISS on step 118 is 7.657490068713682, average speed is 7.6577
The calculated speed of the ISS on step 119 is 7.657485634683682, average speed is 7.6577
The calculated speed of the ISS on step 120 is 7.657481195237674, average speed is 7.6577
The calculated speed of the ISS on step 121 is 7.657479077200656, average speed is 7.6577
The calculated speed of the ISS on step 122 is 7.657474525805282, average speed is 7.6577
The calculated speed of the ISS on step 123 is 7.657470072323173, average speed is 7.6577
The calculated speed of the ISS on step 124 is 7.657465613065594, average speed is 7.6577
The calculated speed of the ISS on step 125 is 7.657463479762336, average speed is 7.6577
The calculated speed of the ISS on step 126 is 7.657458913094189, average speed is 7.6577
The calculated speed of the ISS on step 127 is 7.657454438686431, average speed is 7.6577
The calculated speed of the ISS on step 128 is 7.657449958164711, average speed is 7.6577
The calculated speed of the ISS on step 129 is 7.657445471248677, average speed is 7.6577
The calculated speed of the ISS on step 130 is 7.657443316259291, average speed is 7.6577
The calculated speed of the ISS on step 131 is 7.657438728386853, average speed is 7.6577
The calculated speed of the ISS on step 132 is 7.657434224805088, average speed is 7.6577
The calculated speed of the ISS on step 133 is 7.6574297144813155, average speed is 7.6577
The calculated speed of the ISS on step 134 is 7.657427542386541, average speed is 7.6577
The calculated speed of the ISS on step 135 is 7.657422936000074, average speed is 7.6577
The calculated speed of the ISS on step 136 is 7.6574184079175405, average speed is 7.6577
The calculated speed of the ISS on step 137 is 7.657413872607987, average speed is 7.6577
The calculated speed of the ISS on step 138 is 7.65740933005336, average speed is 7.6577
The calculated speed of the ISS on step 139 is 7.657407133111162, average speed is 7.6577
The calculated speed of the ISS on step 140 is 7.657402502040483, average speed is 7.6577
The calculated speed of the ISS on step 141 is 7.657397940318109, average speed is 7.6577
The calculated speed of the ISS on step 142 is 7.6573933708564415, average speed is 7.6577
The calculated speed of the ISS on step 143 is 7.657391153500891, average speed is 7.6577
The calculated speed of the ISS on step 144 is 7.657386501599627, average speed is 7.6577
The calculated speed of the ISS on step 145 is 7.657381912083558, average speed is 7.6577
The calculated speed of the ISS on step 146 is 7.657377314111828, average speed is 7.6577
The calculated speed of the ISS on step 147 is 7.657372708045957, average speed is 7.6577
The calculated speed of the ISS on step 148 is 7.657370462549121, average speed is 7.6577
The calculated speed of the ISS on step 149 is 7.657365782581934, average speed is 7.6577
The calculated speed of the ISS on step 150 is 7.657361154922868, average speed is 7.6577
The calculated speed of the ISS on step 151 is 7.657356518230655, average speed is 7.6577
The calculated speed of the ISS on step 152 is 7.657354250285443, average speed is 7.6577
The calculated speed of the ISS on step 153 is 7.657349546845971, average speed is 7.6576
The calculated speed of the ISS on step 154 is 7.657344887548598, average speed is 7.6576
The calculated speed of the ISS on step 155 is 7.657340219193355, average speed is 7.6576
The calculated speed of the ISS on step 156 is 7.657337927218533, average speed is 7.6576
The calculated speed of the ISS on step 157 is 7.657333199207744, average speed is 7.6576
The calculated speed of the ISS on step 158 is 7.657328507300421, average speed is 7.6576
The calculated speed of the ISS on step 159 is 7.657323805835945, average speed is 7.6576
The calculated speed of the ISS on step 160 is 7.657319094310083, average speed is 7.6576
The calculated speed of the ISS on step 161 is 7.657316769474422, average speed is 7.6576
The calculated speed of the ISS on step 162 is 7.657312008610986, average speed is 7.6576
The calculated speed of the ISS on step 163 is 7.657307272421052, average speed is 7.6576
The calculated speed of the ISS on step 164 is 7.657302525852927, average speed is 7.6576
The calculated speed of the ISS on step 165 is 7.65729776911745, average speed is 7.6576
The calculated speed of the ISS on step 166 is 7.657295409644427, average speed is 7.6576
The calculated speed of the ISS on step 167 is 7.657290614295544, average speed is 7.6576
The calculated speed of the ISS on step 168 is 7.657285831191333, average speed is 7.6576
The calculated speed of the ISS on step 169 is 7.657281037318297, average speed is 7.6576
The calculated speed of the ISS on step 170 is 7.657278650276036, average speed is 7.6576
The calculated speed of the ISS on step 171 is 7.657273826325401, average speed is 7.6576
The calculated speed of the ISS on step 172 is 7.657269005109821, average speed is 7.6576
The calculated speed of the ISS on step 173 is 7.657264173011759, average speed is 7.6576
The calculated speed of the ISS on step 174 is 7.657261756742892, average speed is 7.6576
The calculated speed of the ISS on step 175 is 7.6572569034243205, average speed is 7.6576
The calculated speed of the ISS on step 176 is 7.657252043067132, average speed is 7.6576
The calculated speed of the ISS on step 177 is 7.657247170928419, average speed is 7.6576
The calculated speed of the ISS on step 178 is 7.65724228721169, average speed is 7.6576
The calculated speed of the ISS on step 179 is 7.657239831976937, average speed is 7.6576
The calculated speed of the ISS on step 180 is 7.657234939457474, average speed is 7.6576
The calculated speed of the ISS on step 181 is 7.657230026278791, average speed is 7.6576
The calculated speed of the ISS on step 182 is 7.657225100931003, average speed is 7.6576
The calculated speed of the ISS on step 183 is 7.657222614286132, average speed is 7.6576
The calculated speed of the ISS on step 184 is 7.657217690141279, average speed is 7.6576
The calculated speed of the ISS on step 185 is 7.657212734146369, average speed is 7.6576
The calculated speed of the ISS on step 186 is 7.65720776584006, average speed is 7.6576
The calculated speed of the ISS on step 187 is 7.657202784952725, average speed is 7.6576
The calculated speed of the ISS on step 188 is 7.657200256483659, average speed is 7.6576
The calculated speed of the ISS on step 189 is 7.657195289889622, average speed is 7.6576
The calculated speed of the ISS on step 190 is 7.6571902770778, average speed is 7.6576
The calculated speed of the ISS on step 191 is 7.657185251559733, average speed is 7.6576
The calculated speed of the ISS on step 192 is 7.65718268941655, average speed is 7.6576
The calculated speed of the ISS on step 193 is 7.657177688567753, average speed is 7.6576
The calculated speed of the ISS on step 194 is 7.657172630135328, average speed is 7.6576
The calculated speed of the ISS on step 195 is 7.657167558529975, average speed is 7.6576
The calculated speed of the ISS on step 196 is 7.657162473278439, average speed is 7.6576
The calculated speed of the ISS on step 197 is 7.657159866107739, average speed is 7.6576
The calculated speed of the ISS on step 198 is 7.657154820217463, average speed is 7.6576
The calculated speed of the ISS on step 199 is 7.657149701010649, average speed is 7.6576
The calculated speed of the ISS on step 200 is 7.657144568404842, average speed is 7.6576
The calculated speed of the ISS on step 201 is 7.657141924450369, average speed is 7.6576
The calculated speed of the ISS on step 202 is 7.657136842567098, average speed is 7.6575
The calculated speed of the ISS on step 203 is 7.657131674848512, average speed is 7.6575
The calculated speed of the ISS on step 204 is 7.6571264928661895, average speed is 7.6575
The calculated speed of the ISS on step 205 is 7.657121296537074, average speed is 7.6575
The calculated speed of the ISS on step 206 is 7.657118605335136, average speed is 7.6575
The calculated speed of the ISS on step 207 is 7.657113475283259, average speed is 7.6575
The calculated speed of the ISS on step 208 is 7.657108242793822, average speed is 7.6575
The calculated speed of the ISS on step 209 is 7.657102995816324, average speed is 7.6575
The calculated speed of the ISS on step 210 is 7.657100266373284, average speed is 7.6575
The calculated speed of the ISS on step 211 is 7.657095097621687, average speed is 7.6575
The calculated speed of the ISS on step 212 is 7.657089813785808, average speed is 7.6575
The calculated speed of the ISS on step 213 is 7.657084514697766, average speed is 7.6575
The calculated speed of the ISS on step 214 is 7.657079200618153, average speed is 7.6575
The calculated speed of the ISS on step 215 is 7.657076420450318, average speed is 7.6575
The calculated speed of the ISS on step 216 is 7.657071201062852, average speed is 7.6575
The calculated speed of the ISS on step 217 is 7.657065848888978, average speed is 7.6575
The calculated speed of the ISS on step 218 is 7.657060481203435, average speed is 7.6575
The calculated speed of the ISS on step 219 is 7.657057660593287, average speed is 7.6575
The calculated speed of the ISS on step 220 is 7.657052400694669, average speed is 7.6575
The calculated speed of the ISS on step 221 is 7.657046994044804, average speed is 7.6575
The calculated speed of the ISS on step 222 is 7.657041571483348, average speed is 7.6575
The calculated speed of the ISS on step 223 is 7.657036133427318, average speed is 7.6575
The calculated speed of the ISS on step 224 is 7.657033259659501, average speed is 7.6575
The calculated speed of the ISS on step 225 is 7.657027945992651, average speed is 7.6575
The calculated speed of the ISS on step 226 is 7.657022467547454, average speed is 7.6575
The calculated speed of the ISS on step 227 is 7.657016973015383, average speed is 7.6575
The calculated speed of the ISS on step 228 is 7.6570114621227265, average speed is 7.6575
The calculated speed of the ISS on step 229 is 7.657008533700657, average speed is 7.6575
The calculated speed of the ISS on step 230 is 7.657003165159973, average speed is 7.6575
The calculated speed of the ISS on step 231 is 7.656997613013497, average speed is 7.6575
The calculated speed of the ISS on step 232 is 7.656992044246757, average speed is 7.6575
The calculated speed of the ISS on step 233 is 7.656989072613947, average speed is 7.6575
The calculated speed of the ISS on step 234 is 7.656983660029932, average speed is 7.6575
The calculated speed of the ISS on step 235 is 7.656978049330874, average speed is 7.6575
The calculated speed of the ISS on step 236 is 7.656972421826513, average speed is 7.6575
The calculated speed of the ISS on step 237 is 7.656966777036539, average speed is 7.6575
The calculated speed of the ISS on step 238 is 7.656963747984742, average speed is 7.6575
The calculated speed of the ISS on step 239 is 7.656958278070324, average speed is 7.6575
The calculated speed of the ISS on step 240 is 7.656952590386149, average speed is 7.6575
The calculated speed of the ISS on step 241 is 7.656946885336205, average speed is 7.6575
The calculated speed of the ISS on step 242 is 7.656943810979993, average speed is 7.6575
The calculated speed of the ISS on step 243 is 7.656938295220666, average speed is 7.6575
The calculated speed of the ISS on step 244 is 7.656932546501346, average speed is 7.6575
The calculated speed of the ISS on step 245 is 7.65692678007808, average speed is 7.6575
The calculated speed of the ISS on step 246 is 7.656920995957683, average speed is 7.6575
The calculated speed of the ISS on step 247 is 7.656917861686877, average speed is 7.6575
The calculated speed of the ISS on step 248 is 7.656912286377695, average speed is 7.6575
The calculated speed of the ISS on step 249 is 7.6569064573277945, average speed is 7.6575
The calculated speed of the ISS on step 250 is 7.656900610271904, average speed is 7.6574
The calculated speed of the ISS on step 251 is 7.65689742920729, average speed is 7.6574
The calculated speed of the ISS on step 252 is 7.656891805901158, average speed is 7.6574
The calculated speed of the ISS on step 253 is 7.656885913524486, average speed is 7.6574
The calculated speed of the ISS on step 254 is 7.656880002833754, average speed is 7.6574
The calculated speed of the ISS on step 255 is 7.656874073649415, average speed is 7.6574
The calculated speed of the ISS on step 256 is 7.656870830148125, average speed is 7.6574
The calculated speed of the ISS on step 257 is 7.656865145089457, average speed is 7.6574
The calculated speed of the ISS on step 258 is 7.656859169495202, average speed is 7.6574
The calculated speed of the ISS on step 259 is 7.656853175337703, average speed is 7.6574
The calculated speed of the ISS on step 260 is 7.656849883029281, average speed is 7.6574
The calculated speed of the ISS on step 261 is 7.656844148511221, average speed is 7.6574
The calculated speed of the ISS on step 262 is 7.656838107205118, average speed is 7.6574
The calculated speed of the ISS on step 263 is 7.6568320468331885, average speed is 7.6574
The calculated speed of the ISS on step 264 is 7.656825967543909, average speed is 7.6574
The calculated speed of the ISS on step 265 is 7.656822610695168, average speed is 7.6574
The calculated speed of the ISS on step 266 is 7.656816812599262, average speed is 7.6574
The calculated speed of the ISS on step 267 is 7.656810685005559, average speed is 7.6574
The calculated speed of the ISS on step 268 is 7.656804538241916, average speed is 7.6574
The calculated speed of the ISS on step 269 is 7.656801131385871, average speed is 7.6574
The calculated speed of the ISS on step 270 is 7.656795281909735, average speed is 7.6574
The calculated speed of the ISS on step 271 is 7.656789086517961, average speed is 7.6574
The calculated speed of the ISS on step 272 is 7.656782871587948, average speed is 7.6574
The calculated speed of the ISS on step 273 is 7.656776637148335, average speed is 7.6574
The calculated speed of the ISS on step 274 is 7.656773163867525, average speed is 7.6574
The calculated speed of the ISS on step 275 is 7.656767248177457, average speed is 7.6574
The calculated speed of the ISS on step 276 is 7.656760964249827, average speed is 7.6574
The calculated speed of the ISS on step 277 is 7.656754660324978, average speed is 7.6574
The calculated speed of the ISS on step 278 is 7.656751134966062, average speed is 7.6574
The calculated speed of the ISS on step 279 is 7.656745166924534, average speed is 7.6574
The calculated speed of the ISS on step 280 is 7.656738812984249, average speed is 7.6574
The calculated speed of the ISS on step 281 is 7.6567324390043625, average speed is 7.6574
The calculated speed of the ISS on step 282 is 7.65672886060394, average speed is 7.6574
The calculated speed of the ISS on step 283 is 7.656722839799792, average speed is 7.6574
The calculated speed of the ISS on step 284 is 7.656716415156986, average speed is 7.6574
The calculated speed of the ISS on step 285 is 7.656709969771965, average speed is 7.6574
The calculated speed of the ISS on step 286 is 7.656703504355517, average speed is 7.6574
The calculated speed of the ISS on step 287 is 7.656699857455161, average speed is 7.6574
The calculated speed of the ISS on step 288 is 7.656693767528815, average speed is 7.6574
The calculated speed of the ISS on step 289 is 7.6566872503979235, average speed is 7.6574
The calculated speed of the ISS on step 290 is 7.656680712929407, average speed is 7.6574
The calculated speed of the ISS on step 291 is 7.656677011659457, average speed is 7.6574
The calculated speed of the ISS on step 292 is 7.656670867598733, average speed is 7.6574
The calculated speed of the ISS on step 293 is 7.6566642779157155, average speed is 7.6574
The calculated speed of the ISS on step 294 is 7.656657667429614, average speed is 7.6573
The calculated speed of the ISS on step 295 is 7.656653911344228, average speed is 7.6573
The calculated speed of the ISS on step 296 is 7.656647712513712, average speed is 7.6573
The calculated speed of the ISS on step 297 is 7.656641049612738, average speed is 7.6573
The calculated speed of the ISS on step 298 is 7.656634365512681, average speed is 7.6573
The calculated speed of the ISS on step 299 is 7.656630554333819, average speed is 7.6573
The calculated speed of the ISS on step 300 is 7.656624299725376, average speed is 7.6573
The calculated speed of the ISS on step 301 is 7.656617562843813, average speed is 7.6573
The calculated speed of the ISS on step 302 is 7.656610804478657, average speed is 7.6573
The calculated speed of the ISS on step 303 is 7.656604024764953, average speed is 7.6573
The calculated speed of the ISS on step 304 is 7.65660014198018, average speed is 7.6573
The calculated speed of the ISS on step 305 is 7.656593815213983, average speed is 7.6573
The calculated speed of the ISS on step 306 is 7.656586981932608, average speed is 7.6573
The calculated speed of the ISS on step 307 is 7.656580127168745, average speed is 7.6573
The calculated speed of the ISS on step 308 is 7.65657325062094, average speed is 7.6573
The calculated speed of the ISS on step 309 is 7.656569294852367, average speed is 7.6573
The calculated speed of the ISS on step 310 is 7.656562895607478, average speed is 7.6573
The calculated speed of the ISS on step 311 is 7.656555964998851, average speed is 7.6573
The calculated speed of the ISS on step 312 is 7.656549012672987, average speed is 7.6573
The calculated speed of the ISS on step 313 is 7.656544999572859, average speed is 7.6573
The calculated speed of the ISS on step 314 is 7.656538543133641, average speed is 7.6573
The calculated speed of the ISS on step 315 is 7.6565315362674795, average speed is 7.6573
The calculated speed of the ISS on step 316 is 7.656524507260124, average speed is 7.6573
The calculated speed of the ISS on step 317 is 7.656520436763161, average speed is 7.6573
The calculated speed of the ISS on step 318 is 7.656513922528018, average speed is 7.6573
The calculated speed of the ISS on step 319 is 7.656506838615644, average speed is 7.6573
The calculated speed of the ISS on step 320 is 7.656499732455123, average speed is 7.6573
The calculated speed of the ISS on step 321 is 7.656492604190009, average speed is 7.6573
The calculated speed of the ISS on step 322 is 7.656488459068982, average speed is 7.6573
The calculated speed of the ISS on step 323 is 7.65648187026644, average speed is 7.6573
The calculated speed of the ISS on step 324 is 7.656474686391593, average speed is 7.6573
The calculated speed of the ISS on step 325 is 7.6564674803642365, average speed is 7.6573
The calculated speed of the ISS on step 326 is 7.656460251857356, average speed is 7.6573
The calculated speed of the ISS on step 327 is 7.656456031657621, average speed is 7.6573
The calculated speed of the ISS on step 328 is 7.656449367129624, average speed is 7.6573
The calculated speed of the ISS on step 329 is 7.656442082726018, average speed is 7.6573
The calculated speed of the ISS on step 330 is 7.656434775803132, average speed is 7.6573
The calculated speed of the ISS on step 331 is 7.656427446259804, average speed is 7.6573
The calculated speed of the ISS on step 332 is 7.65642315002924, average speed is 7.6573
The calculated speed of the ISS on step 333 is 7.656416409807548, average speed is 7.6573
The calculated speed of the ISS on step 334 is 7.656409023842248, average speed is 7.6573
Terminated
